epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,33.5088,1.75776,0.6,1,1.08683,0.000249405,0.000249405,0.000249405
2,55.506,0.37728,0.97353,1,0.16455,0.000455671,0.000455671,0.000455671
3,78.0621,0.07182,0.96765,1,0.09783,0.000611182,0.000611182,0.000611182
4,98.6729,0.04743,1,1,0.01957,0.000540607,0.000540607,0.000540607
5,117.671,0.01376,1,1,0.00471,0.000464476,0.000464476,0.000464476
6,139.076,0.01042,1,1,0.00628,0.000388345,0.000388345,0.000388345
7,158.959,0.00905,0.99706,1,0.00871,0.000312214,0.000312214,0.000312214
8,179.241,0.0139,0.99412,1,0.02177,0.000236083,0.000236083,0.000236083
9,197.892,0.00256,1,1,0.00095,0.000159952,0.000159952,0.000159952
