Training Log
Epoch 1: Train Loss=0.6735, Train Acc=0.7544, Val Loss=1.6000, Val Acc=0.6175
Epoch 2: Train Loss=0.1318, Train Acc=0.9631, Val Loss=1.1304, Val Acc=0.7800
Epoch 3: Train Loss=0.2103, Train Acc=0.9350, Val Loss=2.4969, Val Acc=0.5275
Epoch 4: Train Loss=0.1099, Train Acc=0.9663, Val Loss=1.2616, Val Acc=0.6800
Epoch 5: Train Loss=0.0715, Train Acc=0.9788, Val Loss=0.0412, Val Acc=0.9950
Epoch 6: Train Loss=0.0347, Train Acc=0.9912, Val Loss=0.6746, Val Acc=0.8450
Epoch 7: Train Loss=0.0299, Train Acc=0.9931, Val Loss=0.0745, Val Acc=0.9775
Epoch 8: Train Loss=0.0149, Train Acc=0.9962, Val Loss=0.0043, Val Acc=1.0000
Epoch 9: Train Loss=0.0094, Train Acc=0.9962, Val Loss=0.0039, Val Acc=1.0000
Epoch 10: Train Loss=0.1127, Train Acc=0.9613, Val Loss=4.2501, Val Acc=0.4825
