Epoch 1/10: loss: 1.9764  accuracy: 0.2900  val_loss: 1.3148  val_accuracy: 0.6275  
Epoch 2/10: loss: 1.1935  accuracy: 0.5944  val_loss: 0.9352  val_accuracy: 0.7950  
Epoch 3/10: loss: 0.9152  accuracy: 0.7125  val_loss: 0.7256  val_accuracy: 0.8700  
Epoch 4/10: loss: 0.7283  accuracy: 0.8006  val_loss: 0.5919  val_accuracy: 0.9150  
Epoch 5/10: loss: 0.5967  accuracy: 0.8625  val_loss: 0.5020  val_accuracy: 0.9450  
Epoch 6/10: loss: 0.5142  accuracy: 0.8931  val_loss: 0.4166  val_accuracy: 0.9700  
Epoch 7/10: loss: 0.4493  accuracy: 0.9038  val_loss: 0.3762  val_accuracy: 0.9575  
Epoch 8/10: loss: 0.3976  accuracy: 0.9269  val_loss: 0.3209  val_accuracy: 0.9750  
Epoch 9/10: loss: 0.3582  accuracy: 0.9356  val_loss: 0.2976  val_accuracy: 0.9750  
Epoch 10/10: loss: 0.3179  accuracy: 0.9425  val_loss: 0.2643  val_accuracy: 0.9800  
